ts,symbol,strategy,regime,signal,intent,size_usd,price,ml_p_up,ml_vote,veto,reasons,planned_stop,planned_tp,run_id
1760557855,SOL/USDT,ema_trend,trend,hold,hold,0.0,194.92,0.9999886690518801,neutral,1,breaker:daily_loss,,,
1760557850,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111158.06,1.0334975074243588e-147,neutral,1,breaker:daily_loss,,,
1760557845,ETH/USDT,ema_trend,trend,hold,hold,0.0,3985.45,0.39627652029307575,neutral,1,breaker:daily_loss,,,
1760557820,SOL/USDT,ema_trend,trend,hold,hold,0.0,195.14,0.9999887319884604,neutral,1,breaker:daily_loss,,,
1760557815,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111245.44,9.64217492544823e-149,neutral,1,breaker:daily_loss,,,
1760557809,ETH/USDT,ema_trend,trend,hold,hold,0.0,3987.75,0.38407644330626867,neutral,1,breaker:daily_loss,,,
1760557783,SOL/USDT,ema_trend,trend,hold,hold,0.0,195.13,0.9999885896362117,neutral,1,breaker:daily_loss,,,
1760557777,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111252.06,8.830214385517025e-149,neutral,1,breaker:daily_loss,,,
1760557772,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3987.39,0.3836049979715503,neutral,1,breaker:daily_loss,,,
1760557745,SOL/USDT,ema_trend,trend,hold,hold,0.0,194.94,0.9999885056946114,neutral,1,breaker:daily_loss,,,
1760557740,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111242.22,1.3953151542195609e-148,veto,1,"ml_veto,breaker:daily_loss",,,
1760557734,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3986.37,0.38585778971274165,neutral,1,breaker:daily_loss,,,
1760557706,SOL/USDT,ema_trend,trend,hold,hold,0.0,195.07,0.9999883708744876,neutral,1,breaker:daily_loss,,,
1760557700,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111262.61,7.995394770173357e-149,neutral,1,breaker:daily_loss,,,
1760557694,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3991.35,0.3578828269854135,neutral,1,breaker:daily_loss,,,
1760557665,SOL/USDT,ema_trend,trend,hold,hold,0.0,195.38,0.9999883929916202,neutral,1,breaker:daily_loss,,,
1760557659,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111317.58,2.043679284703043e-149,neutral,1,breaker:daily_loss,,,
1760557653,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3993.9,0.3436723199870583,neutral,1,breaker:daily_loss,,,
1760557625,SOL/USDT,ema_trend,trend,hold,hold,0.0,195.23,0.9999883595246457,neutral,1,breaker:daily_loss,,,
1760557619,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111287.49,5.144439677735001e-149,veto,1,"ml_veto,breaker:daily_loss",,,
1760557613,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3993.03,0.3473355628464436,neutral,1,breaker:daily_loss,,,
1760557586,SOL/USDT,ema_trend,trend,hold,hold,0.0,195.28,0.9999882527645252,neutral,1,breaker:daily_loss,,,
1760557580,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111287.49,5.144439677735001e-149,veto,1,"ml_veto,breaker:daily_loss",,,
1760557575,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3994.72,0.3383628356476189,neutral,1,breaker:daily_loss,,,
1760557548,SOL/USDT,ema_trend,trend,hold,hold,0.0,195.26,0.9999883749541139,neutral,1,breaker:daily_loss,,,
1760557543,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111279.34,7.430875661590074e-149,veto,1,"ml_veto,breaker:daily_loss",,,
1760557538,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3992.44,0.3478419432366702,neutral,1,breaker:daily_loss,,,
1760557509,SOL/USDT,ema_trend,trend,hold,hold,0.0,195.32,0.9999883875316613,neutral,1,breaker:daily_loss,,,
1760557504,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111283.25,6.678290514970634e-149,veto,1,"ml_veto,breaker:daily_loss",,,
