ts,symbol,strategy,regime,signal,intent,size_usd,price,ml_p_up,ml_vote,veto,reasons,planned_stop,planned_tp,run_id
1760721575,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106370.01,5.973516762587228e-141,neutral,0,ok,,,RUN_20251017_1615
1760721569,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3787.71,0.5362909488611696,neutral,0,ok,,,RUN_20251017_1615
1760721538,SOL/USDT,rsi_mean_revert,chop,buy,buy,2173.2166666666667,183.16,0.9999892728191976,boost,0,ok,182.38907013284842,184.70185973430316,RUN_20251017_1615
1760721530,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106457.51,7.175918700857248e-142,neutral,0,ok,,,RUN_20251017_1615
1760721524,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3790.86,0.5223937666112962,neutral,0,ok,,,RUN_20251017_1615
1760721493,SOL/USDT,rsi_mean_revert,chop,buy,buy,2173.2166666666667,183.3,0.9999893460947135,boost,0,ok,182.5519272757056,184.79614544858887,RUN_20251017_1615
1760721487,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106508.98,1.760423708891519e-142,neutral,0,ok,,,RUN_20251017_1615
1760721481,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3794.25,0.5026047982116626,neutral,0,ok,,,RUN_20251017_1615
1760721453,SOL/USDT,rsi_mean_revert,chop,buy,buy,2173.2166666666667,183.16,0.9999893301404541,boost,0,ok,182.3681193734699,184.74376125306017,RUN_20251017_1615
1760721447,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106490.0,3.210376401264137e-142,neutral,0,ok,,,RUN_20251017_1615
1760721440,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3793.6,0.5027462300660889,neutral,0,ok,,,RUN_20251017_1615
1760721402,SOL/USDT,ema_trend,trend,buy,buy,2173.2166666666667,183.36,0.9999895279417381,neutral,0,ok,182.57742525146574,184.92514949706856,RUN_20251017_1615
1760721396,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106632.2,5.914184290896273e-144,neutral,0,ok,,,RUN_20251017_1615
1760721391,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3797.33,0.4805435550923042,neutral,0,ok,,,RUN_20251017_1615
1760721358,SOL/USDT,ema_trend,trend,buy,buy,2173.2166666666667,183.63,0.9999897299124344,neutral,0,ok,182.85030419571805,185.18939160856385,RUN_20251017_1615
1760721350,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106626.02,5.511657957080668e-144,neutral,0,ok,,,RUN_20251017_1615
1760721343,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3797.82,0.47840344456372935,neutral,0,ok,,,RUN_20251017_1615
1760721311,SOL/USDT,ema_trend,trend,buy,buy,2248.0583333333334,183.78,0.9999897557091516,neutral,0,ok,183.03030419571806,185.27939160856388,RUN_20251017_1615
1760721304,BTC/USDT,ema_trend,trend,hold,hold,0.0,106664.27,1.9392312621550484e-144,veto,1,ml_veto,,,RUN_20251017_1615
1760721297,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3798.91,0.4625965555098581,neutral,0,ok,,,RUN_20251017_1615
1760721269,SOL/USDT,ema_trend,trend,buy,buy,2248.0583333333334,183.67,0.9999894863477525,neutral,0,ok,182.89582184886726,185.21835630226545,RUN_20251017_1615
1760721263,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106627.45,3.6991527864635026e-144,neutral,0,ok,,,RUN_20251017_1615
1760721256,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3795.77,0.48137383973880377,neutral,0,ok,,,RUN_20251017_1615
1760721223,SOL/USDT,ema_trend,trend,buy,buy,2248.0583333333334,183.51,0.9999895238455304,neutral,0,ok,182.7224237343123,185.08515253137537,RUN_20251017_1615
1760721216,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106691.1,4.763451177145928e-145,neutral,0,ok,,,RUN_20251017_1615
1760721210,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3801.35,0.44390452053070834,neutral,0,ok,,,RUN_20251017_1615
1760721180,SOL/USDT,rsi_mean_revert,chop,buy,buy,2248.0583333333334,183.23,0.9999895483169068,boost,0,ok,182.50813802002656,184.6737239599468,RUN_20251017_1615
1760721174,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106507.95,7.170841332449076e-143,neutral,0,ok,,,RUN_20251017_1615
1760721168,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3793.56,0.4943454169973646,neutral,0,ok,,,RUN_20251017_1615
1760721134,SOL/USDT,rsi_mean_revert,chop,buy,buy,2248.0583333333334,183.11,0.9999896154567302,boost,0,ok,182.35700530727902,184.61598938544202,RUN_20251017_1615
1760721126,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106457.28,2.8694674087064676e-142,neutral,0,ok,,,RUN_20251017_1615
1760721117,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3788.75,0.5314092345484906,neutral,0,ok,,,RUN_20251017_1615
1760721083,SOL/USDT,rsi_mean_revert,chop,buy,buy,2248.0583333333334,182.75,0.9999896216407237,boost,0,ok,181.98336871516676,184.28326256966648,RUN_20251017_1615
1760721077,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106443.41,5.295005843422682e-142,neutral,0,ok,,,RUN_20251017_1615
1760721069,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3791.13,0.5182267910542822,neutral,0,ok,,,RUN_20251017_1615
1760721035,SOL/USDT,rsi_mean_revert,chop,sell,sell,2248.0583333333334,183.01,0.9999898583045739,neutral,0,ok,183.7702185272574,181.48956294548515,RUN_20251017_1615
1760721027,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106572.43,1.428666478325401e-143,neutral,0,ok,,,RUN_20251017_1615
1760721021,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3796.2,0.4893180873453495,neutral,0,ok,,,RUN_20251017_1615
1760720982,SOL/USDT,ema_trend,trend,buy,buy,2248.0583333333334,182.9,0.9999896990525566,neutral,0,ok,182.10899558969427,184.48200882061147,RUN_20251017_1615
1760720975,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106528.65,4.70375849717101e-143,neutral,0,ok,,,RUN_20251017_1615
1760720967,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3794.39,0.5008439507888705,neutral,0,ok,,,RUN_20251017_1615
1760720934,SOL/USDT,ema_trend,trend,buy,buy,2248.0583333333334,183.1,0.9999896519572583,neutral,0,ok,182.30485226728916,184.69029546542168,RUN_20251017_1615
1760720927,BTC/USDT,ema_trend,trend,sell,sell,2248.0583333333334,106630.44,2.276455088072593e-144,neutral,0,ok,106858.97701090096,106173.36597819811,RUN_20251017_1615
1760720920,ETH/USDT,ema_trend,trend,sell,sell,2248.0583333333334,3799.29,0.4652878222290899,neutral,0,ok,3812.2120821021367,3773.4458357957265,RUN_20251017_1615
1760720887,SOL/USDT,ema_trend,trend,buy,buy,2248.0583333333334,183.1,0.9999896519572583,neutral,0,ok,182.31913798157487,184.66172403685025,RUN_20251017_1615
1760720880,BTC/USDT,ema_trend,trend,sell,sell,2248.0583333333334,106540.37,2.6657038424791718e-143,neutral,0,ok,106758.49701090094,106104.1159781981,RUN_20251017_1615
1760720873,ETH/USDT,ema_trend,trend,sell,sell,2248.0583333333334,3799.09,0.45915426052634295,neutral,0,ok,3812.3460944739436,3772.5778110521132,RUN_20251017_1615
1760720839,SOL/USDT,ema_trend,trend,buy,buy,2248.0583333333334,183.18,0.9999893956474782,neutral,0,ok,182.3606098662368,184.81878026752642,RUN_20251017_1615
1760720833,BTC/USDT,ema_trend,trend,sell,sell,2248.0583333333334,106572.0,8.52855504695444e-144,neutral,0,ok,106798.49215921106,106119.01568157786,RUN_20251017_1615
1760720825,ETH/USDT,ema_trend,trend,sell,sell,2248.0583333333334,3802.01,0.44297003013171554,neutral,0,ok,3814.737523045372,3776.554953909256,RUN_20251017_1615
1760720788,SOL/USDT,ema_trend,trend,sell,sell,2248.0583333333334,183.3,0.9999897818353002,neutral,0,ok,184.0775847193261,181.7448305613478,RUN_20251017_1615
1760720781,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106532.31,1.4510849444846528e-143,neutral,0,ok,,,RUN_20251017_1615
1760720775,ETH/USDT,ema_trend,trend,sell,sell,2248.0583333333334,3794.81,0.48363700348076066,neutral,0,ok,3806.408644804691,3771.6127103906183,RUN_20251017_1615
1760720741,SOL/USDT,ema_trend,trend,sell,sell,2248.0583333333334,183.07,0.9999894387032947,neutral,0,ok,183.85816806476828,181.49366387046342,RUN_20251017_1615
1760720734,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106498.0,3.0822528123508527e-143,neutral,0,ok,,,RUN_20251017_1615
1760720728,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3795.78,0.4670716243081597,neutral,0,ok,,,RUN_20251017_1615
1760720694,SOL/USDT,ema_trend,trend,sell,sell,2248.0583333333334,182.91,0.9999891290410292,neutral,0,ok,183.7187962908123,181.2924074183754,RUN_20251017_1615
1760720686,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106415.45,2.9236801164775815e-142,neutral,0,ok,,,RUN_20251017_1615
1760720679,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3790.79,0.48865086737221536,neutral,0,ok,,,RUN_20251017_1615
1760720647,SOL/USDT,ema_trend,trend,sell,sell,2248.0583333333334,182.81,0.9999891294877702,neutral,0,ok,183.59593914795516,181.2381217040897,RUN_20251017_1615
1760720641,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106415.21,2.9428736054742172e-142,neutral,0,ok,,,RUN_20251017_1615
1760720633,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3790.46,0.48446342199412923,neutral,0,ok,,,RUN_20251017_1615
1760720599,SOL/USDT,rsi_mean_revert,chop,buy,buy,2248.0583333333334,182.42,0.9999887861821651,boost,0,ok,181.63360386062638,183.99279227874723,RUN_20251017_1615
1760720592,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106337.61,2.689040717742305e-141,veto,1,ml_veto,,,RUN_20251017_1615
1760720583,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3788.0,0.4995291342119126,neutral,0,ok,,,RUN_20251017_1615
1760720548,SOL/USDT,rsi_mean_revert,chop,buy,buy,2248.0583333333334,182.41,0.9999887585699785,boost,0,ok,181.60948468085368,184.0110306382926,RUN_20251017_1615
1760720540,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106340.34,2.980918033805223e-141,veto,1,ml_veto,,,RUN_20251017_1615
1760720534,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3784.24,0.5210819587454635,veto,1,ml_veto,,,RUN_20251017_1615
1760720501,SOL/USDT,rsi_mean_revert,chop,buy,buy,2248.0583333333334,182.29,0.9999888892306819,boost,0,ok,181.48417126070436,183.90165747859126,RUN_20251017_1615
1760720493,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106373.97,1.753834477935764e-141,neutral,0,ok,,,RUN_20251017_1615
1760720485,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3787.32,0.5162469434039729,neutral,0,ok,,,RUN_20251017_1615
1760720449,SOL/USDT,rsi_mean_revert,chop,buy,buy,2248.0583333333334,182.48,0.9999888534482718,boost,0,ok,181.66756919174827,184.10486161650346,RUN_20251017_1615
1760720441,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106426.25,5.0257459852553926e-142,neutral,0,ok,,,RUN_20251017_1615
1760720436,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3788.72,0.5083548115603364,neutral,0,ok,,,RUN_20251017_1615
1760720403,SOL/USDT,rsi_mean_revert,chop,buy,buy,2248.0583333333334,182.36,0.9999888314371375,boost,0,ok,181.56899776317687,183.94200447364634,RUN_20251017_1615
1760720396,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106372.34,3.1081244471792814e-141,neutral,0,ok,,,RUN_20251017_1615
1760720388,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3788.54,0.5150230825774381,neutral,0,ok,,,RUN_20251017_1615
1760720355,SOL/USDT,ema_trend,trend,sell,sell,2248.0583333333334,182.22,0.9999888742216181,neutral,0,ok,183.0310796942363,180.5978406115274,RUN_20251017_1615
1760720347,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,106373.99,2.970852884133315e-141,neutral,0,ok,,,RUN_20251017_1615
1760720340,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,3789.47,0.5092287051048616,neutral,0,ok,,,RUN_20251017_1615
1760720307,SOL/USDT,ema_trend,trend,sell,sell,2248.0583333333334,182.18,0.9999887468376508,neutral,0,ok,183.03259128756568,180.47481742486866,RUN_20251017_1615
1760720299,BTC/USDT,ema_trend,trend,sell,sell,2248.0583333333334,106363.05,5.427616968740404e-141,neutral,0,ok,106600.78805324061,105887.57389351877,RUN_20251017_1615
1760720291,ETH/USDT,ema_trend,trend,sell,sell,2248.0583333333334,3786.1,0.529363206670217,neutral,0,ok,3798.7687345964923,3760.762530807015,RUN_20251017_1615
1760720259,SOL/USDT,ema_trend,trend,sell,sell,2248.0583333333334,182.03,0.9999887543989977,neutral,0,ok,182.9048783562054,180.28024328758926,RUN_20251017_1615
